"","x"
"1",NA
"2",NA
"3",NA
"4",201468
"5",284033
"6",422010
"7",195421
"8",155805
"9",158931
"10",171784
"11",172215
"12",225152
"13",315015
"14",164111
"15",150458
"16",150608
"17",175944
"18",181182
"19",205656
"20",254615
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",213038
"68",231461
"69",329375
"70",188393
"71",173321
"72",173665
"73",196579
"74",203749
"75",228380
"76",316723
"77",171970
"78",160108
"79",182007
"80",190179
"81",191833
"82",221188
"83",293742
"84",162520
"85",166537
"86",174549
"87",185984
"88",171025
"89",257416
"90",370483
"91",199677
"92",171258
"93",177883
"94",178380
"95",208222
"96",231602
"97",321809
"98",188905
"99",173623
"100",166797
"101",175769
"102",182573
"103",229987
"104",303880
"105",171061
"106",159484
"107",170401
"108",189042
"109",191084
"110",216513
"111",313227
"112",177846
"113",144241
"114",166456
"115",167225
"116",170551
"117",238627
"118",340724
"119",202168
"120",239058
"121",130816
"122",130542
"123",145838
"124",203434
"125",287776
"126",186160
"127",141094
"128",134028
"129",127463
"130",165197
"131",204528
"132",362535
"133",185396
"134",148394
"135",141266
"136",171503
"137",176017
"138",205331
"139",334283
"140",192696
"141",127530
"142",145104
"143",159637
"144",168215
"145",219804
"146",344813
"147",174848
"148",131497
"149",137583
"150",154523
"151",162525
"152",205619
"153",336956
"154",159857
"155",128478
"156",142287
"157",143754
"158",163964
"159",210863
"160",314937
"161",180874
"162",147949
"163",141474
"164",130041
"165",159709
"166",223290
"167",326311
"168",167188
"169",133233
"170",135929
"171",162818
"172",165631
"173",215400
"174",343987
"175",194257
"176",139516
"177",136926
"178",156522
"179",155657
"180",217565
"181",358625
"182",207862
"183",144973
"184",155302
"185",163656
"186",192792
"187",229928
"188",387898
"189",224214
"190",216643
"191",183506
"192",174918
"193",187052
"194",262536
"195",425077
"196",232158
"197",161168
"198",175493
"199",185119
"200",196386
"201",267579
"202",445225
"203",244837
"204",199732
"205",215435
"206",264973
"207",NA
"208",736537
"209",490374
"210",267889
"211",209096
"212",226177
"213",241120
"214",249871
"215",387234
"216",616649
"217",401558
"218",317220
"219",327180
"220",381864
"221",389974
"222",521984
"223",782376
"224",527879
"225",486437
"226",543134
"227",593505
"228",648605
"229",774691
"230",101309
"231",731735
"232",108671
"233",718611
"234",NA
"235",747641
"236",599007
"237",645222
"238",386342
"239",469995
"240",366847
"241",221621
"242",130444
"243",978742
"244",739943
"245",377127
"246",308228
"247",352992
"248",284870
"249",257359
"250",293936
"251",429254
"252",250550
"253",177469
"254",190318
"255",164972
"256",156398
"257",291772
"258",392398
"259",224716
"260",240707
"261",145489
"262",143041
"263",137241
"264",211404
"265",317510
"266",156491
"267",115960
"268",117784
"269",134548
"270",141000
"271",205075
"272",328797
"273",170547
"274",136859
"275",138059
"276",147804
"277",167298
"278",219598
"279",398690
"280",219812
"281",196396
"282",268881
"283",320031
"284",565213
"285",595731
"286",267818
"287",NA
"288",NA
"289",134590
"290",143004
"291",155545
"292",215745
"293",345254
"294",157115
"295",117613
"296",126486
"297",140642
"298",136419
"299",222868
"300",348684
"301",197903
"302",119294
"303",123906
"304",146810
"305",141067
"306",229038
"307",352612
"308",197610
"309",136428
"310",138329
"311",165794
"312",176512
"313",234594
"314",343265
"315",229044
"316",163998
"317",125459
"318",NA
"319",183415
"320",223660
"321",351914
"322",180443
"323",130858
"324",142261
"325",147047
"326",148705
"327",200115
"328",332972
"329",194773
"330",158651
"331",149760
"332",153178
"333",162272
"334",237132
"335",353145
"336",191357
"337",146471
"338",147056
"339",173511
"340",181831
"341",243732
"342",330128
"343",181937
"344",137271
"345",169870
"346",155629
"347",197820
"348",325216
"349",394164
"350",NA
"351",173647
"352",159510
"353",167227
"354",196622
"355",246007
"356",379231
"357",187416
"358",151357
"359",165927
"360",188091
"361",193401
"362",226555
"363",348606
"364",194643
"365",139919
"366",176140
"367",196110
"368",198095
"369",304787
"370",469222
"371",216309
"372",175856
"373",166788
"374",183318
"375",204703
"376",246544
"377",370675
"378",217833
"379",170914
"380",176321
"381",193349
"382",217305
"383",245391
"384",352052
"385",210176
"386",276116
"387",137868
"388",169009
"389",183861
"390",229086
"391",328250
"392",195270
"393",156316
"394",166419
"395",169887
"396",173448
"397",208237
"398",297722
"399",142802
"400",863155
"401",511884
"402",478021
"403",440346
"404",498562
"405",593298
"406",249215
"407",268114
"408",276345
"409",258970
"410",266286
"411",308414
"412",371677
"413",226453
"414",195975
"415",207311
"416",218887
"417",209544
"418",262762
"419",333358
"420",185211
"421",195739
"422",195346
"423",205785
"424",254310
"425",187810
"426",313423
"427",174444
"428",189298
"429",175117
"430",170967
"431",199027
"432",222108
"433",277462
"434",158618
"435",162930
"436",166576
"437",174606
"438",202728
"439",233925
"440",313217
"441",171506
"442",173681
"443",172488
"444",205225
"445",186401
"446",226765
"447",303941
"448",180159
"449",188324
"450",190239
"451",194958
"452",219448
"453",286996
"454",414570
"455",243244
"456",176294
"457",184744
"458",196931
"459",213616
"460",241208
"461",346890
"462",208533
"463",176947
"464",197089
"465",192776
"466",173450
"467",NA
"468",349609
"469",210236
"470",188366
"471",171511
"472",209992
"473",201111
"474",240380
"475",323910
"476",203751
"477",164616
"478",165612
"479",194213
"480",184347
"481",250823
"482",344490
"483",216346
"484",274372
"485",128424
"486",146609
"487",168295
"488",214934
"489",317383
"490",185540
"491",131422
"492",138674
"493",160558
"494",157131
"495",203914
"496",348617
"497",205799
"498",153263
"499",148044
"500",170256
"501",160823
"502",222580
"503",343524
"504",191354
"505",137127
"506",155369
"507",172067
"508",193582
"509",229099
"510",353799
"511",216833
"512",138057
"513",158656
"514",150468
"515",170396
"516",212025
"517",314894
"518",167492
"519",130039
"520",130769
"521",147531
"522",153006
"523",220125
"524",306270
"525",180723
"526",164299
"527",121176
"528",161557
"529",183091
"530",236989
"531",326701
"532",188866
"533",156896
"534",146413
"535",175407
"536",192638
"537",225619
"538",352525
"539",205122
"540",145521
"541",166685
"542",184312
"543",207143
"544",234746
"545",352224
"546",225565
"547",150741
"548",142913
"549",170299
"550",178813
"551",245435
"552",400971
"553",233444
"554",183850
"555",256461
"556",207922
"557",211982
"558",296272
"559",446449
"560",254843
"561",176169
"562",184292
"563",197971
"564",306124
"565",302059
"566",432611
"567",262436
"568",224504
"569",236220
"570",296530
"571",NA
"572",847603
"573",512077
"574",293983
"575",214603
"576",234005
"577",259163
"578",275380
"579",384132
"580",NA
"581",381444
"582",294239
"583",326953
"584",390918
"585",486900
"586",526058
"587",754260
"588",426090
"589",483412
"590",510561
"591",586815
"592",614606
"593",707410
"594",986587
"595",714213
"596",962011
"597",103148
"598",740004
"599",NA
"600",779214
"601",549390
"602",339607
"603",467733
"604",459729
"605",383106
"606",232668
"607",377387
"608",407271
"609",211940
"610",914987
"611",487982
"612",394516
"613",346554
"614",402603
"615",582041
"616",299353
"617",207478
"618",261024
"619",233725
"620",250575
"621",283467
"622",440028
"623",250900
"624",258940
"625",143962
"626",159350
"627",156098
"628",219861
"629",345167
"630",NA
"631",NA
"632",139324
"633",145845
"634",177405
"635",249360
"636",365363
"637",177460
"638",131466
"639",166687
"640",161571
"641",198002
"642",NA
"643",477783
"644",252597
"645",215489
"646",257015
"647",310758
"648",430423
"649",718537
"650",656895
"651",189183
"652",212203
"653",123002
"654",139972
"655",165847
"656",220593
"657",367346
"658",219031
"659",137804
"660",138226
"661",148700
"662",152520
"663",237595
"664",407400
"665",211651
"666",129033
"667",175160
"668",203404
"669",198360
"670",289806
"671",472953
"672",243976
"673",169637
"674",188423
"675",210261
"676",217836
"677",277005
"678",445489
"679",224898
"680",197372
"681",212817
"682",210453
"683",212486
"684",295765
"685",413505
"686",214245
"687",179168
"688",170272
"689",162717
"690",198728
"691",244652
"692",369516
"693",215049
"694",163461
"695",173790
"696",211170
"697",194246
"698",265656
"699",422936
"700",223166
"701",179386
"702",183969
"703",211226
"704",244124
"705",386298
"706",436045
"707",NA
"708",196734
"709",180183
"710",183691
"711",211255
"712",262967
"713",394393
"714",218475
"715",174696
"716",175491
"717",181812
"718",196998
"719",256979
"720",411458
"721",235997
"722",175819
"723",181987
"724",182845
"725",195416
"726",285145
"727",416225
"728",232799
"729",175410
"730",199483
"731",204215
"732",220986
"733",324766
"734",456714
"735",219604
"736",172725
"737",194630
"738",203909
"739",218152
"740",287904
"741",379702
"742",220232
"743",182465
"744",196351
"745",209660
"746",211934
"747",261340
"748",364324
"749",222582
"750",187693
"751",204129
"752",197845
"753",224117
"754",275244
"755",368234
"756",202084
"757",273905
"758",177106
"759",179459
"760",185420
"761",243771
"762",325813
"763",175388
"764",166132
"765",168760
"766",193752
"767",182245
"768",229574
"769",293579
"770",141427
"771",105900
"772",656832
"773",562557
"774",518712
"775",540668
"776",620141
"777",261642
"778",298242
"779",274197
"780",265481
"781",277283
"782",297659
"783",408886
"784",225629
"785",225817
"786",213554
"787",227800
"788",255817
"789",273942
"790",322593
"791",134974
"792",272417
"793",186964
"794",183677
"795",189355
"796",240917
"797",301743
"798",188083
"799",195487
"800",190090
"801",200994
"802",209208
"803",248474
"804",342564
"805",193413
"806",179610
"807",191211
"808",195202
"809",202115
"810",238669
"811",319867
"812",188081
"813",194001
"814",194359
"815",217989
"816",213752
"817",263632
"818",378932
"819",243254
"820",194297
"821",213302
"822",219729
"823",241678
"824",292717
"825",404287
"826",223778
"827",201077
"828",195945
"829",230916
"830",223894
"831",274472
"832",392780
"833",226581
"834",213847
"835",211101
"836",214919
"837",223113
"838",266779
"839",389433
"840",210615
"841",171190
"842",180495
"843",188877
"844",201989
"845",234064
"846",369019
"847",194766
"848",172240
"849",191609
"850",183808
"851",193160
"852",273104
"853",366096
"854",236301
"855",280141
"856",133682
"857",173105
"858",180242
"859",224690
"860",354201
"861",207463
"862",159226
"863",155752
"864",183930
"865",185860
"866",273358
"867",387880
"868",206776
"869",160154
"870",163448
"871",164194
"872",192219
"873",265169
"874",377251
"875",212816
"876",145903
"877",165960
"878",188288
"879",216543
"880",259825
"881",394213
"882",221133
"883",166506
"884",159352
"885",176184
"886",186168
"887",252603
"888",376263
"889",211691
"890",184548
"891",158173
"892",160021
"893",183944
"894",238974
"895",390353
"896",219007
"897",153575
"898",174263
"899",205359
"900",207185
"901",282795
"902",432341
"903",240274
"904",NA
"905",NA
"906",NA
"907",NA
"908",NA
"909",NA
"910",203667
"911",NA
"912",154750
"913",164930
"914",186883
"915",256145
"916",418121
"917",236383
"918",179554
"919",167406
"920",197036
"921",285142
"922",323263
"923",451712
"924",258176
"925",176087
"926",165287
"927",191887
"928",198333
"929",266216
"930",461199
"931",270995
"932",217259
"933",230124
"934",292025
"935",NA
"936",909531
"937",529345
"938",243123
"939",220400
"940",218081
"941",254271
"942",299103
"943",404642
"944",654086
"945",394893
"946",NA
"947",NA
"948",NA
"949",NA
"950",NA
"951",NA
"952",NA
"953",NA
"954",NA
"955",NA
"956",NA
"957",NA
"958",NA
"959",NA
"960",813748
"961",866111
"962",885587
"963",101105
"964",766510
"965",NA
"966",615322
"967",525708
"968",413661
"969",425512
"970",434558
"971",415567
"972",225055
"973",231993
"974",115313
"975",534016
"976",411153
"977",362292
"978",428002
"979",631029
"980",355235
"981",227348
"982",215823
"983",232691
"984",221870
"985",303344
"986",498798
"987",294020
"988",304773
"989",156737
"990",159092
"991",156587
"992",237520
"993",315099
"994",NA
"995",145355
"996",156113
"997",145729
"998",158769
"999",211454
"1000",NA
"1001",223342
"1002",149062
"1003",150734
"1004",164569
"1005",178207
"1006",301990
"1007",436354
"1008",208222
"1009",182890
"1010",208374
"1011",234988
"1012",296979
"1013",452481
"1014",651723
"1015",399599
"1016",437001
"1017",158139
"1018",155706
"1019",176655
"1020",258853
"1021",437189
"1022",236625
"1023",224375
"1024",137602
"1025",157800
"1026",150645
"1027",230407
"1028",392473
"1029",210889
"1030",150993
"1031",167230
"1032",176647
"1033",216706
"1034",295339
"1035",499040
"1036",273963
"1037",189030
"1038",156310
"1039",187813
"1040",201295
"1041",288196
"1042",451414
"1043",235235
"1044",186254
"1045",202323
"1046",201488
"1047",217967
"1048",275552
"1049",414107
"1050",244068
"1051",194466
"1052",192726
"1053",210255
"1054",234722
"1055",383157
"1056",428395
"1057",NA
"1058",212802
"1059",201362
"1060",214691
"1061",239310
"1062",280163
"1063",414697
"1064",217567
"1065",171781
"1066",174159
"1067",180111
